ensembl_transcript_id	ensembl_gene_id	cds_length	gene_biotype	external_gene_name	ensembl_peptide_id_version
ENSMUST00000000312	ENSMUSG00000000303	2655	protein_coding	Cdh1	ENSMUSP00000000312.5
ENSMUST00000000314	ENSMUSG00000000305	2742	protein_coding	Cdh4	ENSMUSP00000000314.6
ENSMUST00000078222	ENSMUSG00000000308	1257	protein_coding	Ckmt1	ENSMUSP00000077349.2
ENSMUST00000000326	ENSMUSG00000000317	1425	protein_coding	Bcl6b	ENSMUSP00000000326.5
ENSMUST00000178945	ENSMUSG00000000318	927	protein_coding	Clec10a	ENSMUSP00000137447.1
ENSMUST00000000329	ENSMUSG00000000320	1992	protein_coding	Alox12	ENSMUSP00000000329.2
ENSMUST00000090103	ENSMUSG00000000325	2889	protein_coding	Arvcf	ENSMUSP00000087562.3
ENSMUST00000115609	ENSMUSG00000000326	798	protein_coding	Comt	ENSMUSP00000111272.2
ENSMUST00000000348	ENSMUSG00000000339	1101	protein_coding	Rtca	ENSMUSP00000000348.8
ENSMUST00000000349	ENSMUSG00000000340	1449	protein_coding	Dbt	ENSMUSP00000000349.6
ENSMUST00000000356	ENSMUSG00000000346	507	protein_coding	Dazap2	ENSMUSP00000000356.8
ENSMUST00000000365	ENSMUSG00000000355	546	protein_coding	Mcts1	ENSMUSP00000000365.2
ENSMUST00000000369	ENSMUSG00000000359	894	protein_coding	Rem1	ENSMUSP00000000369.3
ENSMUST00000095793	ENSMUSG00000000365	4923	protein_coding	Rnf17	ENSMUSP00000093469.1
ENSMUST00000000384	ENSMUSG00000000374	3777	protein_coding	Trappc10	ENSMUSP00000000384.6
ENSMUST00000000388	ENSMUSG00000000378	1362	protein_coding	Ccm2	ENSMUSP00000000388.8
ENSMUST00000102910	ENSMUSG00000000381	405	protein_coding	Wap	ENSMUSP00000099974.3
ENSMUST00000156969	ENSMUSG00000000384	1893	protein_coding	Tbrg4	ENSMUSP00000114256.1
ENSMUST00000000395	ENSMUSG00000000385	1473	protein_coding	Tmprss2	ENSMUSP00000000395.6
ENSMUST00000023655	ENSMUSG00000000386	1884	protein_coding	Mx1	ENSMUSP00000023655.6
ENSMUST00000102732	ENSMUSG00000000392	2286	protein_coding	Fap	ENSMUSP00000099793.3
ENSMUST00000102733	ENSMUSG00000000394	543	protein_coding	Gcg	ENSMUSP00000099794.3
ENSMUST00000205002	ENSMUSG00000000399	1134	protein_coding	Ndufa9	ENSMUSP00000144904.1
ENSMUST00000000412	ENSMUSG00000000402	1653	protein_coding	Egfl6	ENSMUSP00000000412.2
ENSMUST00000167288	ENSMUSG00000000409	1563	protein_coding	Lck	ENSMUSP00000125777.1
ENSMUST00000000421	ENSMUSG00000000411	807	protein_coding	Tssk3	ENSMUSP00000000421.5
ENSMUST00000090601	ENSMUSG00000000416	4947	protein_coding	Cttnbp2	ENSMUSP00000088089.5
ENSMUST00000000430	ENSMUSG00000000420	1680	protein_coding	Galnt1	ENSMUSP00000000430.7
ENSMUST00000000445	ENSMUSG00000000435	768	protein_coding	Myf5	ENSMUSP00000000445.1
ENSMUST00000000449	ENSMUSG00000000439	1251	protein_coding	Mkrn2	ENSMUSP00000000449.7
ENSMUST00000000450	ENSMUSG00000000440	1518	protein_coding	Pparg	ENSMUSP00000000450.3
ENSMUST00000112949	ENSMUSG00000000441	1947	protein_coding	Raf1	ENSMUSP00000108571.1
ENSMUST00000106314	ENSMUSG00000000486	1101	protein_coding	Sept1	ENSMUSP00000101921.1
ENSMUST00000000500	ENSMUSG00000000489	726	protein_coding	Pdgfb	ENSMUSP00000000500.6
ENSMUST00000000542	ENSMUSG00000000530	1509	protein_coding	Acvrl1	ENSMUSP00000000542.7
ENSMUST00000000543	ENSMUSG00000000531	1179	protein_coding	Grasp	ENSMUSP00000000543.4
ENSMUST00000000544	ENSMUSG00000000532	1518	protein_coding	Acvr1b	ENSMUSP00000000544.9
ENSMUST00000102683	ENSMUSG00000000538	1524	protein_coding	Tom1l2	ENSMUSP00000099744.4
ENSMUST00000060833	ENSMUSG00000000544	960	protein_coding	Gpa33	ENSMUSP00000060147.7
ENSMUST00000168828	ENSMUSG00000000552	1161	protein_coding	Zfp385a	ENSMUSP00000130176.1
ENSMUST00000023128	ENSMUSG00000000555	3162	protein_coding	Itga5	ENSMUSP00000023128.6
ENSMUST00000197284	ENSMUSG00000000560	1356	protein_coding	Gabra2	ENSMUSP00000142892.1
ENSMUST00000010278	ENSMUSG00000000561	1029	protein_coding	Wdr77	ENSMUSP00000010278.5
ENSMUST00000000574	ENSMUSG00000000562	960	protein_coding	Adora3	ENSMUSP00000000574.1
ENSMUST00000118209	ENSMUSG00000000563	771	protein_coding	Atp5f1	ENSMUSP00000113022.1
ENSMUST00000000579	ENSMUSG00000000567	1524	protein_coding	Sox9	ENSMUSP00000000579.2
ENSMUST00000172361	ENSMUSG00000000568	1068	protein_coding	Hnrnpd	ENSMUSP00000132735.1
ENSMUST00000092966	ENSMUSG00000000579	342	protein_coding	Dynlt1c	ENSMUSP00000090644.4
ENSMUST00000000594	ENSMUSG00000000581	426	protein_coding	C1d	ENSMUSP00000000594.2
ENSMUST00000000608	ENSMUSG00000000594	582	protein_coding	Gm2a	ENSMUSP00000000608.7
ENSMUST00000080085	ENSMUSG00000000600	2211	protein_coding	Krit1	ENSMUSP00000078985.4
ENSMUST00000000619	ENSMUSG00000000605	2244	protein_coding	Clcn4	ENSMUSP00000000619.6
ENSMUST00000022438	ENSMUSG00000000606	2574	protein_coding	Vmn2r88	ENSMUSP00000022438.5
ENSMUST00000000631	ENSMUSG00000000617	2616	protein_coding	Grm6	ENSMUSP00000000631.7
ENSMUST00000000641	ENSMUSG00000000627	2334	protein_coding	Sema4f	ENSMUSP00000000641.9
ENSMUST00000000642	ENSMUSG00000000628	2754	protein_coding	Hk2	ENSMUSP00000000642.4
ENSMUST00000168348	ENSMUSG00000000631	6252	protein_coding	Myo18a	ENSMUSP00000130696.1
ENSMUST00000093995	ENSMUSG00000000632	2976	protein_coding	Sez6	ENSMUSP00000091532.3
ENSMUST00000000687	ENSMUSG00000000673	861	protein_coding	Haao	ENSMUSP00000000687.7
ENSMUST00000000696	ENSMUSG00000000682	225	protein_coding	Cd52	ENSMUSP00000000696.6
ENSMUST00000094004	ENSMUSG00000000686	1380	protein_coding	Abhd15	ENSMUSP00000091541.4
ENSMUST00000173432	ENSMUSG00000000690	675	protein_coding	Hoxb6	ENSMUSP00000133281.1
ENSMUST00000000707	ENSMUSG00000000693	2265	protein_coding	Loxl3	ENSMUSP00000000707.2
ENSMUST00000000717	ENSMUSG00000000701	366	protein_coding	Tcl1b5	ENSMUSP00000000717.7
ENSMUST00000041674	ENSMUSG00000000706	1575	protein_coding	Btn1a1	ENSMUSP00000041013.7
ENSMUST00000000724	ENSMUSG00000000708	2442	protein_coding	Kat2b	ENSMUSP00000000724.8
ENSMUST00000000727	ENSMUSG00000000711	648	protein_coding	Rab5b	ENSMUSP00000000727.2
ENSMUST00000078623	ENSMUSG00000000724	648	protein_coding	Cryba1	ENSMUSP00000077693.4
ENSMUST00000138785	ENSMUSG00000000730	1266	protein_coding	Dnmt3l	ENSMUSP00000121562.1
ENSMUST00000128241	ENSMUSG00000000731	1659	protein_coding	Aire	ENSMUSP00000114904.1
ENSMUST00000219038	ENSMUSG00000000732	1033	protein_coding	Icosl	ENSMUSP00000151346.1
ENSMUST00000149248	ENSMUSG00000000738	2346	protein_coding	Spg7	ENSMUSP00000119552.2
ENSMUST00000000755	ENSMUSG00000000739	876	protein_coding	Sult5a1	ENSMUSP00000000755.7
ENSMUST00000000756	ENSMUSG00000000740	636	protein_coding	Rpl13	ENSMUSP00000000756.5
ENSMUST00000000759	ENSMUSG00000000743	591	protein_coding	Chmp1a	ENSMUSP00000000759.8
ENSMUST00000000767	ENSMUSG00000000751	1935	protein_coding	Rpa1	ENSMUSP00000000767.5
ENSMUST00000000769	ENSMUSG00000000753	1254	protein_coding	Serpinf1	ENSMUSP00000000769.7
ENSMUST00000000776	ENSMUSG00000000759	2718	protein_coding	Tubgcp3	ENSMUSP00000000776.8
ENSMUST00000078634	ENSMUSG00000000766	1371	protein_coding	Oprm1	ENSMUSP00000077704.5
ENSMUST00000000793	ENSMUSG00000000776	1197	protein_coding	Polr3d	ENSMUSP00000000793.5
ENSMUST00000086844	ENSMUSG00000000782	912	protein_coding	Tcf7	ENSMUSP00000084055.3
ENSMUST00000000804	ENSMUSG00000000787	1989	protein_coding	Ddx3x	ENSMUSP00000000804.6
ENSMUST00000000808	ENSMUSG00000000791	2217	protein_coding	Il12rb1	ENSMUSP00000000808.7
ENSMUST00000000809	ENSMUSG00000000792	1857	protein_coding	Slc5a5	ENSMUSP00000000809.2
ENSMUST00000000811	ENSMUSG00000000794	2199	protein_coding	Kcnn3	ENSMUSP00000000811.7
ENSMUST00000108075	ENSMUSG00000000804	4815	protein_coding	Usp32	ENSMUSP00000103710.2
ENSMUST00000103194	ENSMUSG00000000805	918	protein_coding	Car4	ENSMUSP00000099483.3
ENSMUST00000000828	ENSMUSG00000000811	1848	protein_coding	Txnrd3	ENSMUSP00000000828.6
ENSMUST00000000834	ENSMUSG00000000817	840	protein_coding	Fasl	ENSMUSP00000000834.2
ENSMUST00000128553	ENSMUSG00000000823	2640	protein_coding	Zfp512b	ENSMUSP00000115601.1
ENSMUST00000072334	ENSMUSG00000000826	597	protein_coding	Dnajc5	ENSMUSP00000072175.5
ENSMUST00000108799	ENSMUSG00000000827	690	protein_coding	Tpd52l2	ENSMUSP00000104427.3
ENSMUST00000114655	ENSMUSG00000000838	1896	protein_coding	Fmr1	ENSMUSP00000110303.1
ENSMUST00000109514	ENSMUSG00000000861	2508	protein_coding	Bcl11a	ENSMUSP00000105140.1
ENSMUST00000000889	ENSMUSG00000000869	423	protein_coding	Il4	ENSMUSP00000000889.6
ENSMUST00000000896	ENSMUSG00000000876	639	protein_coding	Pxmp4	ENSMUSP00000000896.4
ENSMUST00000087984	ENSMUSG00000000881	2550	protein_coding	Dlg3	ENSMUSP00000085299.4
ENSMUST00000167778	ENSMUSG00000000884	1074	protein_coding	Gnb1l	ENSMUSP00000130371.2
ENSMUST00000000910	ENSMUSG00000000889	1869	protein_coding	Dbh	ENSMUSP00000000910.6
ENSMUST00000120281	ENSMUSG00000000901	1479	protein_coding	Mmp11	ENSMUSP00000112940.1
ENSMUST00000000925	ENSMUSG00000000902	1158	protein_coding	Smarcb1	ENSMUSP00000000925.3
ENSMUST00000121151	ENSMUSG00000000903	393	protein_coding	Vpreb3	ENSMUSP00000113205.1
ENSMUST00000000939	ENSMUSG00000000915	3207	protein_coding	Hip1r	ENSMUSP00000000939.8
ENSMUST00000000940	ENSMUSG00000000916	1398	protein_coding	Nsun5	ENSMUSP00000000940.8
ENSMUST00000000958	ENSMUSG00000000934	1782	protein_coding	Top1mt	ENSMUSP00000000958.8
ENSMUST00000125581	ENSMUSG00000000938	1251	protein_coding	Hoxa10	ENSMUSP00000120276.1
ENSMUST00000101395	ENSMUSG00000000942	858	protein_coding	Hoxa4	ENSMUSP00000098943.2
ENSMUST00000179360	ENSMUSG00000000948	216	protein_coding	Gm38393	ENSMUSP00000136053.1
ENSMUST00000089688	ENSMUSG00000000957	1749	protein_coding	Mmp14	ENSMUSP00000087119.4
ENSMUST00000000984	ENSMUSG00000000958	1533	protein_coding	Slc7a7	ENSMUSP00000000984.4
ENSMUST00000000985	ENSMUSG00000000959	1302	protein_coding	Oxa1l	ENSMUSP00000000985.5
ENSMUST00000001002	ENSMUSG00000000976	3555	protein_coding	Heatr6	ENSMUSP00000001002.7
ENSMUST00000001008	ENSMUSG00000000982	279	protein_coding	Ccl3	ENSMUSP00000001008.5
ENSMUST00000001009	ENSMUSG00000000983	225	protein_coding	Wfdc18	ENSMUSP00000001009.7
ENSMUST00000001040	ENSMUSG00000001014	789	protein_coding	Icam4	ENSMUSP00000001040.5
ENSMUST00000001042	ENSMUSG00000001016	1173	protein_coding	Ilf2	ENSMUSP00000001042.8
ENSMUST00000049937	ENSMUSG00000001017	750	protein_coding	Chtop	ENSMUSP00000061800.6
ENSMUST00000149884	ENSMUSG00000001018	411	protein_coding	Snapin	ENSMUSP00000122090.1
ENSMUST00000001046	ENSMUSG00000001020	306	protein_coding	S100a4	ENSMUSP00000001046.5
ENSMUST00000200508	ENSMUSG00000001021	306	protein_coding	S100a3	ENSMUSP00000142747.1
ENSMUST00000107329	ENSMUSG00000001023	282	protein_coding	S100a5	ENSMUSP00000102952.1
ENSMUST00000001051	ENSMUSG00000001025	270	protein_coding	S100a6	ENSMUSP00000001051.4
ENSMUST00000021056	ENSMUSG00000001027	5526	protein_coding	Scn4a	ENSMUSP00000021056.7
ENSMUST00000001055	ENSMUSG00000001029	834	protein_coding	Icam2	ENSMUSP00000001055.8
ENSMUST00000079080	ENSMUSG00000001034	2421	protein_coding	Mapk7	ENSMUSP00000078087.6
ENSMUST00000179936	ENSMUSG00000001036	1923	protein_coding	Epn2	ENSMUSP00000136950.1
ENSMUST00000102657	ENSMUSG00000001039	615	protein_coding	B9d1	ENSMUSP00000099717.3
ENSMUST00000001079	ENSMUSG00000001052	3756	protein_coding	Sec24b	ENSMUSP00000001079.8
ENSMUST00000001080	ENSMUSG00000001053	1614	protein_coding	N4bp3	ENSMUSP00000001080.9
ENSMUST00000001081	ENSMUSG00000001054	1182	protein_coding	Rmnd5b	ENSMUSP00000001081.3
ENSMUST00000127405	ENSMUSG00000001056	462	protein_coding	Nhp2	ENSMUSP00000120014.1
ENSMUST00000118279	ENSMUSG00000001062	1953	protein_coding	Vps9d1	ENSMUSP00000113634.1
ENSMUST00000001092	ENSMUSG00000001065	1845	protein_coding	Zfp276	ENSMUSP00000001092.8
ENSMUST00000064462	ENSMUSG00000001076	717	protein_coding	C1ql4	ENSMUSP00000068402.3
ENSMUST00000001109	ENSMUSG00000001082	1371	protein_coding	Mfsd10	ENSMUSP00000001109.4
ENSMUST00000170102	ENSMUSG00000001089	3207	protein_coding	Luzp1	ENSMUSP00000130758.1
ENSMUST00000001122	ENSMUSG00000001095	1761	protein_coding	Slc13a2	ENSMUSP00000001122.5
ENSMUST00000001125	ENSMUSG00000001098	951	protein_coding	Kctd10	ENSMUSP00000001125.5
ENSMUST00000001127	ENSMUSG00000001100	1107	protein_coding	Poldip2	ENSMUSP00000001127.4
ENSMUST00000001130	ENSMUSG00000001103	573	protein_coding	Sebox	ENSMUSP00000001130.6
ENSMUST00000128788	ENSMUSG00000001105	399	protein_coding	Ift20	ENSMUSP00000118015.1
ENSMUST00000001147	ENSMUSG00000001119	3078	protein_coding	Col6a1	ENSMUSP00000001147.4
ENSMUST00000001148	ENSMUSG00000001120	1116	protein_coding	Pcbp3	ENSMUSP00000001148.4
ENSMUST00000108269	ENSMUSG00000001123	1062	protein_coding	Lgals9	ENSMUSP00000103904.3
ENSMUST00000001155	ENSMUSG00000001127	1815	protein_coding	Araf	ENSMUSP00000001155.4
ENSMUST00000001156	ENSMUSG00000001128	1395	protein_coding	Cfp	ENSMUSP00000001156.7
ENSMUST00000115342	ENSMUSG00000001131	618	protein_coding	Timp1	ENSMUSP00000110999.3
ENSMUST00000123836	ENSMUSG00000001134	474	protein_coding	Uxt	ENSMUSP00000115342.1
ENSMUST00000001166	ENSMUSG00000001138	2142	protein_coding	Cnnm3	ENSMUSP00000001166.7
ENSMUST00000115011	ENSMUSG00000001143	1077	protein_coding	Lman2l	ENSMUSP00000110663.1
ENSMUST00000170795	ENSMUSG00000001150	5916	protein_coding	Mcm3ap	ENSMUSP00000125960.1
ENSMUST00000001179	ENSMUSG00000001151	8751	protein_coding	Pcnt	ENSMUSP00000001179.5
ENSMUST00000001183	ENSMUSG00000001155	1626	protein_coding	Ftcd	ENSMUSP00000001183.7
ENSMUST00000001184	ENSMUSG00000001156	684	protein_coding	Mxd1	ENSMUSP00000001184.7
ENSMUST00000001185	ENSMUSG00000001157	1575	protein_coding	Gmcl1	ENSMUSP00000001185.7
ENSMUST00000113683	ENSMUSG00000001158	576	protein_coding	Snrnp27	ENSMUSP00000109313.1
ENSMUST00000117193	ENSMUSG00000001166	1089	protein_coding	Oas1c	ENSMUSP00000112584.1
ENSMUST00000072476	ENSMUSG00000001168	1110	protein_coding	Oas1h	ENSMUSP00000072297.6
ENSMUST00000001202	ENSMUSG00000001173	2703	protein_coding	Ocrl	ENSMUSP00000001202.8
ENSMUST00000001204	ENSMUSG00000001175	594	protein_coding	Calm1	ENSMUSP00000001204.6
ENSMUST00000001240	ENSMUSG00000001211	1131	protein_coding	Agpat3	ENSMUSP00000001240.5
ENSMUST00000001254	ENSMUSG00000001225	2274	protein_coding	Slc26a3	ENSMUSP00000001254.5
ENSMUST00000001256	ENSMUSG00000001227	2661	protein_coding	Sema6b	ENSMUSP00000001256.4
ENSMUST00000001258	ENSMUSG00000001228	2349	protein_coding	Uhrf1	ENSMUSP00000001258.8
ENSMUST00000038794	ENSMUSG00000001229	2589	protein_coding	Dpp9	ENSMUSP00000046604.4
ENSMUST00000129680	ENSMUSG00000001240	570	protein_coding	Ramp2	ENSMUSP00000122072.1
ENSMUST00000001279	ENSMUSG00000001247	1785	protein_coding	Lsr	ENSMUSP00000001279.7
ENSMUST00000001280	ENSMUSG00000001248	2169	protein_coding	Gramd1a	ENSMUSP00000001280.7
ENSMUST00000039435	ENSMUSG00000001249	1338	protein_coding	Hpn	ENSMUSP00000038149.8
ENSMUST00000031119	ENSMUSG00000001260	1398	protein_coding	Gabrg1	ENSMUSP00000031119.1
ENSMUST00000001304	ENSMUSG00000001270	1146	protein_coding	Ckb	ENSMUSP00000001304.7
ENSMUST00000001326	ENSMUSG00000001280	2346	protein_coding	Sp1	ENSMUSP00000001326.5
ENSMUST00000001327	ENSMUSG00000001281	2421	protein_coding	Itgb7	ENSMUSP00000001327.3
ENSMUST00000113682	ENSMUSG00000001285	1143	protein_coding	Myg1	ENSMUSP00000109312.2
ENSMUST00000043172	ENSMUSG00000001288	1377	protein_coding	Rarg	ENSMUSP00000048838.8
ENSMUST00000166658	ENSMUSG00000001289	465	protein_coding	Pfdn5	ENSMUSP00000129178.1
ENSMUST00000001319	ENSMUSG00000001300	1011	protein_coding	Efnb2	ENSMUSP00000001319.7
ENSMUST00000001339	ENSMUSG00000001305	846	protein_coding	Rrp15	ENSMUSP00000001339.5
ENSMUST00000001347	ENSMUSG00000001313	684	protein_coding	Rnd2	ENSMUSP00000001347.6
ENSMUST00000108448	ENSMUSG00000001323	1020	protein_coding	Srr	ENSMUSP00000104087.1
ENSMUST00000102599	ENSMUSG00000001333	1413	protein_coding	Sync	ENSMUSP00000099659.3
ENSMUST00000102600	ENSMUSG00000001334	630	protein_coding	Fndc5	ENSMUSP00000099660.3
ENSMUST00000069330	ENSMUSG00000001348	984	protein_coding	Acp5	ENSMUSP00000065425.6
ENSMUST00000001384	ENSMUSG00000001349	894	protein_coding	Cnn1	ENSMUSP00000001384.4
ENSMUST00000001402	ENSMUSG00000001366	1314	protein_coding	Fbxo9	ENSMUSP00000001402.7
ENSMUST00000001412	ENSMUSG00000001376	2895	protein_coding	Vps50	ENSMUSP00000001412.8
ENSMUST00000001416	ENSMUSG00000001380	1530	protein_coding	Hars	ENSMUSP00000001416.6
ENSMUST00000001419	ENSMUSG00000001383	600	protein_coding	Zmat2	ENSMUSP00000001419.8
ENSMUST00000088248	ENSMUSG00000001403	540	protein_coding	Ube2c	ENSMUSP00000085581.6
ENSMUST00000001451	ENSMUSG00000001415	3054	protein_coding	Smg5	ENSMUSP00000001451.5
ENSMUST00000001452	ENSMUSG00000001416	1638	protein_coding	Cct3	ENSMUSP00000001452.7
ENSMUST00000177005	ENSMUSG00000001418	1215	protein_coding	Glmp	ENSMUSP00000135398.1
ENSMUST00000107559	ENSMUSG00000001419	1545	protein_coding	Mef2d	ENSMUSP00000103184.2
ENSMUST00000001456	ENSMUSG00000001420	1176	protein_coding	Tmem79	ENSMUSP00000001456.4
ENSMUST00000001460	ENSMUSG00000001424	2733	protein_coding	Snd1	ENSMUSP00000001460.6
ENSMUST00000072755	ENSMUSG00000001435	5325	protein_coding	Col18a1	ENSMUSP00000072538.4
ENSMUST00000144234	ENSMUSG00000001436	1539	protein_coding	Slc19a1	ENSMUSP00000116784.1
ENSMUST00000001479	ENSMUSG00000001440	2631	protein_coding	Kpnb1	ENSMUSP00000001479.3
ENSMUST00000001480	ENSMUSG00000001441	2763	protein_coding	Npepps	ENSMUSP00000001480.7
ENSMUST00000001484	ENSMUSG00000001444	1593	protein_coding	Tbx21	ENSMUSP00000001484.2
ENSMUST00000001485	ENSMUSG00000001445	789	protein_coding	Mrpl10	ENSMUSP00000001485.3
ENSMUST00000001507	ENSMUSG00000001467	1512	protein_coding	Cyp51	ENSMUSP00000001507.4
ENSMUST00000057934	ENSMUSG00000001472	2031	protein_coding	Tcf25	ENSMUSP00000056485.3
ENSMUST00000001513	ENSMUSG00000001473	1344	protein_coding	Tubb6	ENSMUSP00000001513.6
ENSMUST00000093049	ENSMUSG00000001482	1452	protein_coding	Def8	ENSMUSP00000090737.3
ENSMUST00000057054	ENSMUSG00000001493	762	protein_coding	Meox1	ENSMUSP00000051158.7
ENSMUST00000001534	ENSMUSG00000001494	636	protein_coding	Sost	ENSMUSP00000001534.6
ENSMUST00000178477	ENSMUSG00000001496	1119	protein_coding	Nkx2-1	ENSMUSP00000136103.1
ENSMUST00000153250	ENSMUSG00000001497	1029	protein_coding	Pax9	ENSMUSP00000117928.1
ENSMUST00000074372	ENSMUSG00000001504	1425	protein_coding	Irx2	ENSMUSP00000073976.4
ENSMUST00000001547	ENSMUSG00000001506	4362	protein_coding	Col1a1	ENSMUSP00000001547.7
ENSMUST00000120375	ENSMUSG00000001507	3207	protein_coding	Itga3	ENSMUSP00000113556.1
ENSMUST00000103162	ENSMUSG00000001508	1164	protein_coding	Sgca	ENSMUSP00000099451.1
ENSMUST00000092768	ENSMUSG00000001510	864	protein_coding	Dlx3	ENSMUSP00000090443.5
ENSMUST00000073316	ENSMUSG00000001517	2274	protein_coding	Foxm1	ENSMUSP00000073041.6
ENSMUST00000001559	ENSMUSG00000001518	1332	protein_coding	Itfg2	ENSMUSP00000001559.8
