transcript_length	ensembl_peptide_id_version	external_gene_name	gene_biotype
ENSMUSG00000000531	2033	ENSMUSP00000000543.4	Grasp	protein_coding
ENSMUSG00000000532	4418	ENSMUSP00000000544.9	Acvr1b	protein_coding
ENSMUSG00000000538	4999	ENSMUSP00000099744.4	Tom1l2	protein_coding
ENSMUSG00000000544	2515	ENSMUSP00000060147.7	Gpa33	protein_coding
ENSMUSG00000000552	2348	ENSMUSP00000155498.1	Zfp385a	protein_coding
ENSMUSG00000000555	4415	ENSMUSP00000148865.1	Itga5	protein_coding
ENSMUSG00000000560	5852	ENSMUSP00000142892.1	Gabra2	protein_coding
ENSMUSG00000000561	4286	ENSMUSP00000120517.1	Wdr77	protein_coding
ENSMUSG00000000562	2370	ENSMUSP00000000574.1	Adora3	protein_coding
ENSMUSG00000000563	1604	ENSMUSP00000113022.1	Atp5f1	protein_coding
ENSMUSG00000000567	4135	ENSMUSP00000000579.2	Sox9	protein_coding
ENSMUSG00000000568	6811	ENSMUSP00000132735.1	Hnrnpd	protein_coding
ENSMUSG00000000579	2589	ENSMUSP00000090644.4	Dynlt1c	protein_coding
ENSMUSG00000000581	2981	ENSMUSP00000000594.2	C1d	protein_coding
ENSMUSG00000000594	4127	ENSMUSP00000000608.7	Gm2a	protein_coding
ENSMUSG00000000600	5582	ENSMUSP00000132375.1	Krit1	protein_coding
ENSMUSG00000000605	4607	ENSMUSP00000000619.6	Clcn4	protein_coding
ENSMUSG00000000606	4573	ENSMUSP00000156423.1	Vmn2r88	protein_coding
ENSMUSG00000000617	4330	ENSMUSP00000130728.1	Grm6	protein_coding
ENSMUSG00000000627	4086	ENSMUSP00000000641.9	Sema4f	protein_coding
ENSMUSG00000000628	5513	ENSMUSP00000000642.4	Hk2	protein_coding
ENSMUSG00000000631	7513	ENSMUSP00000104012.2	Myo18a	protein_coding
ENSMUSG00000000632	4239	ENSMUSP00000091532.3	Sez6	protein_coding
ENSMUSG00000000673	1381	ENSMUSP00000000687.7	Haao	protein_coding
ENSMUSG00000000682	514	ENSMUSP00000000696.6	Cd52	protein_coding
ENSMUSG00000000686	2662	ENSMUSP00000091541.4	Abhd15	protein_coding
ENSMUSG00000000690	1964	ENSMUSP00000133281.1	Hoxb6	protein_coding
ENSMUSG00000000693	4098	ENSMUSP00000000707.2	Loxl3	protein_coding
ENSMUSG00000000701	1055	ENSMUSP00000000717.7	Tcl1b5	protein_coding
ENSMUSG00000000706	3423	ENSMUSP00000041013.7	Btn1a1	protein_coding
ENSMUSG00000000708	4653	ENSMUSP00000000724.8	Kat2b	protein_coding
ENSMUSG00000000711	3180	ENSMUSP00000000727.2	Rab5b	protein_coding
ENSMUSG00000000724	778	ENSMUSP00000077693.4	Cryba1	protein_coding
ENSMUSG00000000730	1822	ENSMUSP00000121562.1	Dnmt3l	protein_coding
ENSMUSG00000000731	2966	ENSMUSP00000114808.1	Aire	protein_coding
ENSMUSG00000000732	2814	ENSMUSP00000101032.1	Icosl	protein_coding
ENSMUSG00000000738	2896	ENSMUSP00000119552.2	Spg7	protein_coding
ENSMUSG00000000739	3805	ENSMUSP00000000755.7	Sult5a1	protein_coding
ENSMUSG00000000740	780	ENSMUSP00000000756.5	Rpl13	protein_coding
ENSMUSG00000000743	2140	ENSMUSP00000000759.8	Chmp1a	protein_coding
ENSMUSG00000000751	5077	ENSMUSP00000090585.5	Rpa1	protein_coding
ENSMUSG00000000753	1832	ENSMUSP00000000769.7	Serpinf1	protein_coding
ENSMUSG00000000759	3797	ENSMUSP00000000776.8	Tubgcp3	protein_coding
ENSMUSG00000000766	2420	ENSMUSP00000101236.1	Oprm1	protein_coding
ENSMUSG00000000776	2032	ENSMUSP00000137614.1	Polr3d	protein_coding
ENSMUSG00000000782	2471	ENSMUSP00000084055.3	Tcf7	protein_coding
ENSMUSG00000000787	4692	ENSMUSP00000000804.6	Ddx3x	protein_coding
ENSMUSG00000000791	2873	ENSMUSP00000000808.7	Il12rb1	protein_coding
ENSMUSG00000000792	2928	ENSMUSP00000000809.2	Slc5a5	protein_coding
ENSMUSG00000000794	2884	ENSMUSP00000000811.7	Kcnn3	protein_coding
ENSMUSG00000000804	7053	ENSMUSP00000103710.2	Usp32	protein_coding
ENSMUSG00000000805	1256	ENSMUSP00000099483.3	Car4	protein_coding
ENSMUSG00000000811	2836	ENSMUSP00000000828.6	Txnrd3	protein_coding
ENSMUSG00000000817	1937	ENSMUSP00000000834.2	Fasl	protein_coding
ENSMUSG00000000823	5714	ENSMUSP00000104417.2	Zfp512b	protein_coding
ENSMUSG00000000826	6578	ENSMUSP00000072175.5	Dnajc5	protein_coding
ENSMUSG00000000827	3603	ENSMUSP00000117690.1	Tpd52l2	protein_coding
ENSMUSG00000000838	4409	ENSMUSP00000085906.5	Fmr1	protein_coding
ENSMUSG00000000861	5989	ENSMUSP00000105140.1	Bcl11a	protein_coding
ENSMUSG00000000869	605	ENSMUSP00000134414.1	Il4	protein_coding
ENSMUSG00000000876	2789	ENSMUSP00000000896.4	Pxmp4	protein_coding
ENSMUSG00000000881	4956	ENSMUSP00000085299.4	Dlg3	protein_coding
ENSMUSG00000000884	3592	ENSMUSP00000130371.2	Gnb1l	protein_coding
ENSMUSG00000000889	2552	ENSMUSP00000000910.6	Dbh	protein_coding
ENSMUSG00000000901	2288	ENSMUSP00000000924.6	Mmp11	protein_coding
ENSMUSG00000000902	1660	ENSMUSP00000000925.3	Smarcb1	protein_coding
ENSMUSG00000000903	729	ENSMUSP00000113205.1	Vpreb3	protein_coding
ENSMUSG00000000915	6735	ENSMUSP00000000939.8	Hip1r	protein_coding
ENSMUSG00000000916	2243	ENSMUSP00000000940.8	Nsun5	protein_coding
ENSMUSG00000000934	1903	ENSMUSP00000000958.8	Top1mt	protein_coding
ENSMUSG00000000938	2565	ENSMUSP00000120276.1	Hoxa10	protein_coding
ENSMUSG00000000942	1594	ENSMUSP00000098943.2	Hoxa4	protein_coding
ENSMUSG00000000948	1199	ENSMUSP00000136053.1	Gm38393	protein_coding
ENSMUSG00000000957	3238	ENSMUSP00000153679.1	Mmp14	protein_coding
ENSMUSG00000000958	2278	ENSMUSP00000143743.1	Slc7a7	protein_coding
ENSMUSG00000000959	2538	ENSMUSP00000000985.5	Oxa1l	protein_coding
ENSMUSG00000000976	5614	ENSMUSP00000001002.7	Heatr6	protein_coding
ENSMUSG00000000982	766	ENSMUSP00000001008.5	Ccl3	protein_coding
ENSMUSG00000000983	534	ENSMUSP00000137823.1	Wfdc18	protein_coding
ENSMUSG00000001014	1028	ENSMUSP00000151013.1	Icam4	protein_coding
ENSMUSG00000001016	2027	ENSMUSP00000001042.8	Ilf2	protein_coding
ENSMUSG00000001017	3257	ENSMUSP00000001043.7	Chtop	protein_coding
ENSMUSG00000001018	1928	ENSMUSP00000122090.1	Snapin	protein_coding
ENSMUSG00000001020	498	ENSMUSP00000001046.5	S100a4	protein_coding
ENSMUSG00000001021	712	ENSMUSP00000001047.7	S100a3	protein_coding
ENSMUSG00000001023	431	ENSMUSP00000102952.1	S100a5	protein_coding
ENSMUSG00000001025	783	ENSMUSP00000143720.1	S100a6	protein_coding
ENSMUSG00000001027	6598	ENSMUSP00000021056.7	Scn4a	protein_coding
ENSMUSG00000001029	1282	ENSMUSP00000001055.8	Icam2	protein_coding
ENSMUSG00000001034	3254	ENSMUSP00000098646.2	Mapk7	protein_coding
ENSMUSG00000001036	4458	ENSMUSP00000104352.1	Epn2	protein_coding
ENSMUSG00000001039	817	ENSMUSP00000099717.3	B9d1	protein_coding
ENSMUSG00000001052	5128	ENSMUSP00000001079.8	Sec24b	protein_coding
ENSMUSG00000001053	2367	ENSMUSP00000001080.9	N4bp3	protein_coding
ENSMUSG00000001054	1946	ENSMUSP00000001081.3	Rmnd5b	protein_coding
ENSMUSG00000001056	1042	ENSMUSP00000120014.1	Nhp2	protein_coding
ENSMUSG00000001062	2952	ENSMUSP00000113575.1	Vps9d1	protein_coding
ENSMUSG00000001065	4071	ENSMUSP00000001092.8	Zfp276	protein_coding
ENSMUSG00000001076	1474	ENSMUSP00000068402.3	C1ql4	protein_coding
ENSMUSG00000001082	1907	ENSMUSP00000001109.4	Mfsd10	protein_coding
ENSMUSG00000001089	7526	ENSMUSP00000130758.1	Luzp1	protein_coding
ENSMUSG00000001095	2412	ENSMUSP00000001122.5	Slc13a2	protein_coding
ENSMUSG00000001098	3103	ENSMUSP00000099641.4	Kctd10	protein_coding
ENSMUSG00000001100	2054	ENSMUSP00000001127.4	Poldip2	protein_coding
ENSMUSG00000001103	1351	ENSMUSP00000001130.6	Sebox	protein_coding
ENSMUSG00000001105	1141	ENSMUSP00000118015.1	Ift20	protein_coding
ENSMUSG00000001119	4100	ENSMUSP00000001147.4	Col6a1	protein_coding
ENSMUSG00000001120	2544	ENSMUSP00000101051.2	Pcbp3	protein_coding
ENSMUSG00000001123	1586	ENSMUSP00000103904.3	Lgals9	protein_coding
ENSMUSG00000001127	2854	ENSMUSP00000112521.1	Araf	protein_coding
ENSMUSG00000001128	1636	ENSMUSP00000001156.7	Cfp	protein_coding
ENSMUSG00000001131	883	ENSMUSP00000110999.3	Timp1	protein_coding
ENSMUSG00000001134	875	ENSMUSP00000115342.1	Uxt	protein_coding
ENSMUSG00000001138	5292	ENSMUSP00000095383.3	Cnnm3	protein_coding
ENSMUSG00000001143	3378	ENSMUSP00000117200.1	Lman2l	protein_coding
ENSMUSG00000001150	6427	ENSMUSP00000125960.1	Mcm3ap	protein_coding
ENSMUSG00000001151	9341	ENSMUSP00000151534.1	Pcnt	protein_coding
ENSMUSG00000001155	1933	ENSMUSP00000001183.7	Ftcd	protein_coding
ENSMUSG00000001156	4666	ENSMUSP00000001184.7	Mxd1	protein_coding
ENSMUSG00000001157	2949	ENSMUSP00000001185.7	Gmcl1	protein_coding
ENSMUSG00000001158	1005	ENSMUSP00000109313.1	Snrnp27	protein_coding
ENSMUSG00000001166	2291	ENSMUSP00000112584.1	Oas1c	protein_coding
ENSMUSG00000001168	1703	ENSMUSP00000072297.6	Oas1h	protein_coding
ENSMUSG00000001173	5253	ENSMUSP00000001202.8	Ocrl	protein_coding
ENSMUSG00000001175	4115	ENSMUSP00000105709.3	Calm1	protein_coding
ENSMUSG00000001211	5980	ENSMUSP00000001240.5	Agpat3	protein_coding
ENSMUSG00000001225	2908	ENSMUSP00000001254.5	Slc26a3	protein_coding
ENSMUSG00000001227	3736	ENSMUSP00000001256.4	Sema6b	protein_coding
ENSMUSG00000001228	3586	ENSMUSP00000001258.8	Uhrf1	protein_coding
ENSMUSG00000001229	3374	ENSMUSP00000046604.4	Dpp9	protein_coding
ENSMUSG00000001240	1478	ENSMUSP00000127718.1	Ramp2	protein_coding
ENSMUSG00000001247	2167	ENSMUSP00000001279.7	Lsr	protein_coding
ENSMUSG00000001248	2735	ENSMUSP00000140195.1	Gramd1a	protein_coding
ENSMUSG00000001249	1861	ENSMUSP00000145624.1	Hpn	protein_coding
ENSMUSG00000001260	4771	ENSMUSP00000031119.1	Gabrg1	protein_coding
ENSMUSG00000001270	1472	ENSMUSP00000001304.7	Ckb	protein_coding
ENSMUSG00000001280	7754	ENSMUSP00000001326.5	Sp1	protein_coding
ENSMUSG00000001281	2683	ENSMUSP00000001327.3	Itgb7	protein_coding
ENSMUSG00000001285	1480	ENSMUSP00000109312.2	Myg1	protein_coding
ENSMUSG00000001288	2953	ENSMUSP00000048838.8	Rarg	protein_coding
ENSMUSG00000001289	1062	ENSMUSP00000129178.1	Pfdn5	protein_coding
ENSMUSG00000001300	4793	ENSMUSP00000001319.7	Efnb2	protein_coding
ENSMUSG00000001305	1321	ENSMUSP00000001339.5	Rrp15	protein_coding
ENSMUSG00000001313	1394	ENSMUSP00000001347.6	Rnd2	protein_coding
ENSMUSG00000001323	3699	ENSMUSP00000067552.2	Srr	protein_coding
ENSMUSG00000001333	2042	ENSMUSP00000099659.3	Sync	protein_coding
ENSMUSG00000001334	2763	ENSMUSP00000099660.3	Fndc5	protein_coding
ENSMUSG00000001348	1447	ENSMUSP00000150903.1	Acp5	protein_coding
ENSMUSG00000001349	2381	ENSMUSP00000001384.4	Cnn1	protein_coding
ENSMUSG00000001366	2155	ENSMUSP00000082419.6	Fbxo9	protein_coding
ENSMUSG00000001376	4824	ENSMUSP00000125872.1	Vps50	protein_coding
ENSMUSG00000001380	1987	ENSMUSP00000001416.6	Hars	protein_coding
ENSMUSG00000001383	2257	ENSMUSP00000001419.8	Zmat2	protein_coding
ENSMUSG00000001403	2191	ENSMUSP00000001439.6	Ube2c	protein_coding
ENSMUSG00000001415	4448	ENSMUSP00000001451.5	Smg5	protein_coding
ENSMUSG00000001416	1977	ENSMUSP00000001452.7	Cct3	protein_coding
ENSMUSG00000001418	4219	ENSMUSP00000135398.1	Glmp	protein_coding
ENSMUSG00000001419	5401	ENSMUSP00000001455.6	Mef2d	protein_coding
ENSMUSG00000001420	2406	ENSMUSP00000001456.4	Tmem79	protein_coding
ENSMUSG00000001424	3781	ENSMUSP00000128737.1	Snd1	protein_coding
ENSMUSG00000001435	5595	ENSMUSP00000072538.4	Col18a1	protein_coding
ENSMUSG00000001436	2863	ENSMUSP00000119382.1	Slc19a1	protein_coding
ENSMUSG00000001440	5894	ENSMUSP00000001479.3	Kpnb1	protein_coding
ENSMUSG00000001441	4215	ENSMUSP00000001480.7	Npepps	protein_coding
ENSMUSG00000001444	2488	ENSMUSP00000001484.2	Tbx21	protein_coding
ENSMUSG00000001445	1708	ENSMUSP00000001485.3	Mrpl10	protein_coding
ENSMUSG00000001467	3931	ENSMUSP00000001507.4	Cyp51	protein_coding
ENSMUSG00000001472	5002	ENSMUSP00000148676.1	Tcf25	protein_coding
ENSMUSG00000001473	1757	ENSMUSP00000001513.6	Tubb6	protein_coding
ENSMUSG00000001482	3242	ENSMUSP00000104460.1	Def8	protein_coding
ENSMUSG00000001493	2228	ENSMUSP00000051158.7	Meox1	protein_coding
ENSMUSG00000001494	2066	ENSMUSP00000001534.6	Sost	protein_coding
ENSMUSG00000001496	2809	ENSMUSP00000001536.7	Nkx2-1	protein_coding
ENSMUSG00000001497	4232	ENSMUSP00000117928.1	Pax9	protein_coding
ENSMUSG00000001504	2625	ENSMUSP00000073976.4	Irx2	protein_coding
ENSMUSG00000001506	5930	ENSMUSP00000001547.7	Col1a1	protein_coding
ENSMUSG00000001507	4861	ENSMUSP00000001548.7	Itga3	protein_coding
ENSMUSG00000001508	1724	ENSMUSP00000099451.1	Sgca	protein_coding
ENSMUSG00000001510	2607	ENSMUSP00000090443.5	Dlx3	protein_coding
ENSMUSG00000001517	4652	ENSMUSP00000073041.6	Foxm1	protein_coding
ENSMUSG00000001518	3191	ENSMUSP00000145111.1	Itfg2	protein_coding
ENSMUSG00000001520	1893	ENSMUSP00000001561.5	Nrip2	protein_coding
ENSMUSG00000001521	3374	ENSMUSP00000001562.6	Tulp3	protein_coding
ENSMUSG00000001524	1679	ENSMUSP00000001565.8	Gtf2h4	protein_coding
ENSMUSG00000001525	2649	ENSMUSP00000001566.8	Tubb5	protein_coding
ENSMUSG00000001542	4382	ENSMUSP00000001583.6	Ell2	protein_coding
ENSMUSG00000001552	3205	ENSMUSP00000001592.8	Jup	protein_coding
ENSMUSG00000001555	2584	ENSMUSP00000001595.3	Fkbp10	protein_coding
ENSMUSG00000001558	2017	ENSMUSP00000001599.3	Klhl10	protein_coding
ENSMUSG00000001566	2245	ENSMUSP00000129503.2	Mnx1	protein_coding
ENSMUSG00000001569	9219	ENSMUSP00000001611.9	Nom1	protein_coding
ENSMUSG00000001576	2754	ENSMUSP00000132922.1	Ergic1	protein_coding
ENSMUSG00000001583	2778	ENSMUSP00000001626.3	Tnk1	protein_coding
ENSMUSG00000001588	2482	ENSMUSP00000001631.6	Acap1	protein_coding
ENSMUSG00000001604	1251	ENSMUSP00000099592.4	Tcea3	protein_coding
ENSMUSG00000001622	1596	ENSMUSP00000108896.2	Csn3	protein_coding
ENSMUSG00000001627	3378	ENSMUSP00000001672.5	Ifrd1	protein_coding
ENSMUSG00000001630	4550	ENSMUSP00000001675.7	Stk38l	protein_coding
ENSMUSG00000001632	4826	ENSMUSP00000108744.1	Brpf1	protein_coding
ENSMUSG00000001642	1387	ENSMUSP00000100045.4	Akr1b3	protein_coding
ENSMUSG00000001655	2461	ENSMUSP00000001700.6	Hoxc13	protein_coding
ENSMUSG00000001656	2021	ENSMUSP00000001701.3	Hoxc11	protein_coding
ENSMUSG00000001657	1868	ENSMUSP00000001703.6	Hoxc8	protein_coding
ENSMUSG00000001661	1581	ENSMUSP00000001711.4	Hoxc6	protein_coding
ENSMUSG00000001663	1105	ENSMUSP00000113839.1	Gstt1	protein_coding
ENSMUSG00000001665	1880	ENSMUSP00000001715.3	Gstt3	protein_coding
ENSMUSG00000001666	649	ENSMUSP00000001716.7	Ddt	protein_coding
ENSMUSG00000001670	2375	ENSMUSP00000001720.7	Tat	protein_coding
ENSMUSG00000001672	2447	ENSMUSP00000052309.6	Marveld3	protein_coding
ENSMUSG00000001674	2258	ENSMUSP00000001724.5	Ddx18	protein_coding
ENSMUSG00000001687	2537	ENSMUSP00000078303.7	Ubl3	protein_coding
ENSMUSG00000001700	2605	ENSMUSP00000068453.5	Gramd3	protein_coding
ENSMUSG00000001707	2553	ENSMUSP00000001757.7	Eef1e1	protein_coding
ENSMUSG00000001729	2690	ENSMUSP00000001780.3	Akt1	protein_coding
ENSMUSG00000001739	1902	ENSMUSP00000106722.1	Cldn15	protein_coding
ENSMUSG00000001741	5260	ENSMUSP00000001792.4	Il16	protein_coding
ENSMUSG00000001750	3041	ENSMUSP00000120531.2	Tcirg1	protein_coding
ENSMUSG00000001751	2560	ENSMUSP00000001802.9	Naglu	protein_coding
ENSMUSG00000001755	2386	ENSMUSP00000102929.3	Coasy	protein_coding
ENSMUSG00000001761	3779	ENSMUSP00000001812.4	Smo	protein_coding
ENSMUSG00000001763	1994	ENSMUSP00000045282.7	Tspan33	protein_coding
ENSMUSG00000001767	3428	ENSMUSP00000001818.4	Crnkl1	protein_coding
ENSMUSG00000001768	4657	ENSMUSP00000124206.1	Rin2	protein_coding
ENSMUSG00000001773	3125	ENSMUSP00000001824.5	Folh1	protein_coding
ENSMUSG00000001774	5789	ENSMUSP00000001825.7	Chordc1	protein_coding
ENSMUSG00000001783	2009	ENSMUSP00000001834.3	Rtcb	protein_coding
ENSMUSG00000001785	2572	ENSMUSP00000001836.2	Pwp1	protein_coding
ENSMUSG00000001786	5388	ENSMUSP00000120840.1	Fbxo7	protein_coding
ENSMUSG00000001794	1600	ENSMUSP00000001845.5	Capns1	protein_coding
ENSMUSG00000001802	4147	ENSMUSP00000114026.1	Lrp3	protein_coding
ENSMUSG00000001804	3478	ENSMUSP00000019426.4	Dsg4	protein_coding
ENSMUSG00000001815	4191	ENSMUSP00000001867.6	Evx2	protein_coding
ENSMUSG00000001819	2483	ENSMUSP00000001872.4	Hoxd13	protein_coding
ENSMUSG00000001823	2534	ENSMUSP00000001878.4	Hoxd12	protein_coding
ENSMUSG00000001827	1313	ENSMUSP00000102598.1	Folr1	protein_coding
ENSMUSG00000001829	4627	ENSMUSP00000001884.7	Clpb	protein_coding
ENSMUSG00000001833	2533	ENSMUSP00000110927.2	Sept7	protein_coding
ENSMUSG00000001844	1364	ENSMUSP00000001900.2	Zdhhc4	protein_coding
ENSMUSG00000001847	4159	ENSMUSP00000079380.7	Rac1	protein_coding
ENSMUSG00000001855	6605	ENSMUSP00000066492.6	Nup214	protein_coding
ENSMUSG00000001864	3117	ENSMUSP00000001920.7	Aif1l	protein_coding
ENSMUSG00000001865	1449	ENSMUSP00000001921.1	Cpa3	protein_coding
ENSMUSG00000001870	6671	ENSMUSP00000001927.5	Ltbp1	protein_coding
ENSMUSG00000001891	2683	ENSMUSP00000099939.4	Ugp2	protein_coding
ENSMUSG00000001901	3368	ENSMUSP00000001965.7	Kcnh6	protein_coding
ENSMUSG00000001909	2567	ENSMUSP00000001974.4	Trmt1	protein_coding
ENSMUSG00000001910	4300	ENSMUSP00000001975.4	Nacc1	protein_coding
ENSMUSG00000001911	5476	ENSMUSP00000105386.1	Nfix	protein_coding
ENSMUSG00000001918	2764	ENSMUSP00000104136.2	Slc1a5	protein_coding
ENSMUSG00000001924	4071	ENSMUSP00000001989.8	Uba1	protein_coding
ENSMUSG00000001930	8834	ENSMUSP00000107873.2	Vwf	protein_coding
ENSMUSG00000001942	4947	ENSMUSP00000149505.1	Siae	protein_coding
ENSMUSG00000001943	1166	ENSMUSP00000002008.5	Vsig2	protein_coding
