dnovemcinctus	mdomestica	ggallus	xtropicalis	drerio	olatipes	pmarinus	eburgeri	cintestinalis	dmelanogaster	celegans
ENSMUSG00000000392	ENSDNOG00000012063	ENSMODG00000005588	ENSGALG00000011099	ENSXETG00000033310	0	0	ENSPMAG00000002164	0	0	0	WBGene00001055
ENSMUSG00000000394	ENSDNOG00000000498	ENSMODG00000005566	ENSGALG00000011104	ENSXETG00000013178	0	0	0	ENSEBUG00000015964	0	0	0
ENSMUSG00000000399	ENSDNOG00000015566	0	ENSGALG00000017282	ENSXETG00000008484	0	ENSORLG00000015846	ENSPMAG00000009192	ENSEBUG00000003670	ENSCING00000020573	FBgn0037001	WBGene00021800
ENSMUSG00000000402	ENSDNOG00000016651	ENSMODG00000017323	ENSGALG00000016584	ENSXETG00000013340	ENSDARG00000045958	ENSORLG00000017805	0	0	0	0	0
ENSMUSG00000000409	ENSDNOG00000009597	ENSMODG00000017464	ENSGALG00000000466	0	0	0	0	0	0	0	0
ENSMUSG00000000411	ENSDNOG00000019349	ENSMODG00000017432	ENSGALG00000053648	0	0	0	0	0	0	0	0
ENSMUSG00000000416	ENSDNOG00000001656	ENSMODG00000015754	ENSGALG00000009134	ENSXETG00000021813	ENSDARG00000040991	ENSORLG00000019530	0	0	0	0	0
ENSMUSG00000000420	ENSDNOG00000012559	ENSMODG00000000501	ENSGALG00000013135	ENSXETG00000014012	ENSDARG00000061335	ENSORLG00000008696	ENSPMAG00000009786	ENSEBUG00000005657	ENSCING00000003121	0	0
ENSMUSG00000000435	ENSDNOG00000034747	ENSMODG00000020478	ENSGALG00000028091	ENSXETG00000014520	ENSDARG00000007277	ENSORLG00000016257	0	ENSEBUG00000007373	0	0	0
ENSMUSG00000000439	0	ENSMODG00000006280	ENSGALG00000004991	ENSXETG00000020165	ENSDARG00000007630	ENSORLG00000009824	ENSPMAG00000001072	ENSEBUG00000004539	0	0	0
ENSMUSG00000000440	ENSDNOG00000018641	ENSMODG00000006233	ENSGALG00000004974	ENSXETG00000012062	0	ENSORLG00000004432	0	0	0	0	0
ENSMUSG00000000441	ENSDNOG00000009252	ENSMODG00000006307	ENSGALG00000004998	ENSXETG00000020163	0	ENSORLG00000011471	0	0	0	0	0
ENSMUSG00000000486	ENSDNOG00000014680	ENSMODG00000001499	0	0	0	0	0	0	0	0	0
ENSMUSG00000000489	ENSDNOG00000045349	ENSMODG00000009558	ENSGALG00000012178	ENSXETG00000006912	0	0	0	ENSEBUG00000014753	0	0	0
ENSMUSG00000000530	ENSDNOG00000044427	ENSMODG00000014248	ENSGALG00000035635	0	0	0	0	0	0	0	0
ENSMUSG00000000531	ENSDNOG00000047417	ENSMODG00000014254	ENSGALG00000047861	ENSXETG00000000578	ENSDARG00000000588	ENSORLG00000015291	0	0	0	0	0
ENSMUSG00000000532	ENSDNOG00000018434	0	ENSGALG00000029599	ENSXETG00000000572	0	ENSORLG00000007566	0	0	0	0	0
ENSMUSG00000000538	ENSDNOG00000047366	ENSMODG00000014061	ENSGALG00000004902	ENSXETG00000012156	ENSDARG00000056394	ENSORLG00000009375	ENSPMAG00000008416	ENSEBUG00000005489	0	0	0
ENSMUSG00000000544	ENSDNOG00000040420	ENSMODG00000002491	ENSGALG00000044138	ENSXETG00000008011	ENSDARG00000040898	0	0	0	0	0	0
ENSMUSG00000000552	ENSDNOG00000048978	0	ENSGALG00000046448	ENSXETG00000021272	ENSDARG00000009899	0	0	0	0	0	0
ENSMUSG00000000555	ENSDNOG00000019000	0	0	ENSXETG00000021265	ENSDARG00000006353	0	ENSPMAG00000004326	ENSEBUG00000006015	0	0	0
ENSMUSG00000000560	ENSDNOG00000000669	ENSMODG00000020598	ENSGALG00000014206	ENSXETG00000008421	0	ENSORLG00000009490	0	ENSEBUG00000014876	0	0	0
ENSMUSG00000000561	0	ENSMODG00000001364	ENSGALG00000040864	ENSXETG00000006758	ENSDARG00000101347	ENSORLG00000000530	ENSPMAG00000006349	ENSEBUG00000001231	0	0	0
ENSMUSG00000000562	0	ENSMODG00000001331	ENSGALG00000001462	0	0	0	0	0	0	0	0
ENSMUSG00000000563	0	ENSMODG00000001351	ENSGALG00000001452	ENSXETG00000022255	ENSDARG00000011553	ENSORLG00000027488	ENSPMAG00000008484	ENSEBUG00000016234	0	FBgn0019644	0
ENSMUSG00000000567	ENSDNOG00000033826	ENSMODG00000006526	ENSGALG00000004386	ENSXETG00000022348	ENSDARG00000003293	ENSORLG00000007960	0	ENSEBUG00000007880	0	0	0
ENSMUSG00000000568	0	ENSMODG00000011898	ENSGALG00000011184	ENSXETG00000012569	ENSDARG00000059246	ENSORLG00000001833	0	0	0	0	0
ENSMUSG00000000579	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000581	0	ENSMODG00000003561	ENSGALG00000008765	ENSXETG00000025934	ENSDARG00000021112	ENSORLG00000021968	0	ENSEBUG00000006874	ENSCING00000020906	0	WBGene00021785
ENSMUSG00000000594	ENSDNOG00000042400	ENSMODG00000009252	ENSGALG00000027534	ENSXETG00000019419	0	ENSORLG00000024392	ENSPMAG00000004653	ENSEBUG00000016913	0	0	0
ENSMUSG00000000600	ENSDNOG00000008198	ENSMODG00000010670	ENSGALG00000042651	ENSXETG00000030227	ENSDARG00000098916	ENSORLG00000020220	ENSPMAG00000006733	ENSEBUG00000017077	ENSCING00000014494	0	WBGene00013955
ENSMUSG00000000605	ENSDNOG00000009731	ENSMODG00000017425	ENSGALG00000016607	ENSXETG00000015727	ENSDARG00000035808	0	0	0	0	0	0
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	ENSDNOG00000010132	ENSMODG00000010422	0	ENSXETG00000018732	0	0	0	0	0	0	0
ENSMUSG00000000627	ENSDNOG00000013083	ENSMODG00000004678	0	0	ENSDARG00000100308	ENSORLG00000005915	ENSPMAG00000002208	0	0	0	0
ENSMUSG00000000628	ENSDNOG00000012318	ENSMODG00000011328	ENSGALG00000034855	ENSXETG00000008520	ENSDARG00000101482	ENSORLG00000015439	0	0	0	0	0
ENSMUSG00000000631	ENSDNOG00000014688	ENSMODG00000019323	ENSGALG00000003741	ENSXETG00000009454	0	ENSORLG00000009845	0	0	ENSCING00000017906	FBgn0026059	WBGene00012437
ENSMUSG00000000632	ENSDNOG00000000584	ENSMODG00000019317	ENSGALG00000026431	ENSXETG00000014343	0	ENSORLG00000009861	0	ENSEBUG00000008109	0	0	0
ENSMUSG00000000673	ENSDNOG00000040710	ENSMODG00000000392	ENSGALG00000009926	ENSXETG00000015771	ENSDARG00000076487	ENSORLG00000023483	ENSPMAG00000004464	ENSEBUG00000000800	ENSCING00000012376	0	WBGene00010595
ENSMUSG00000000682	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000686	ENSDNOG00000039165	ENSMODG00000019332	0	ENSXETG00000009441	0	ENSORLG00000003204	0	0	0	0	0
ENSMUSG00000000690	ENSDNOG00000006841	ENSMODG00000012334	ENSGALG00000037619	ENSXETG00000021987	ENSDARG00000010630	0	0	0	0	0	0
ENSMUSG00000000693	ENSDNOG00000001934	ENSMODG00000004785	ENSGALG00000036142	ENSXETG00000019030	0	ENSORLG00000018185	ENSPMAG00000006875	0	0	0	0
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	ENSDNOG00000014385	ENSMODG00000014806	ENSGALG00000011278	ENSXETG00000014008	ENSDARG00000062634	ENSORLG00000012238	ENSPMAG00000000009	ENSEBUG00000004234	0	0	0
ENSMUSG00000000711	ENSDNOG00000016952	0	ENSGALG00000042482	ENSXETG00000006194	0	0	0	0	0	0	0
ENSMUSG00000000724	ENSDNOG00000016640	ENSMODG00000019325	ENSGALG00000004035	ENSXETG00000009448	ENSDARG00000041141	ENSORLG00000008154	0	0	0	0	0
ENSMUSG00000000730	0	ENSMODG00000021084	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	ENSDNOG00000043238	ENSMODG00000011425	0	ENSXETG00000030448	ENSDARG00000056784	ENSORLG00000016279	0	0	0	0	0
ENSMUSG00000000732	ENSDNOG00000044181	ENSMODG00000029138	ENSGALG00000031637	0	0	0	0	0	0	0	0
ENSMUSG00000000738	ENSDNOG00000007323	ENSMODG00000003715	ENSGALG00000028363	ENSXETG00000019834	ENSDARG00000068187	ENSORLG00000005689	ENSPMAG00000000341	ENSEBUG00000013383	ENSCING00000014624	FBgn0024992	0
ENSMUSG00000000739	0	0	ENSGALG00000023472	ENSXETG00000019839	ENSDARG00000007769	ENSORLG00000005774	0	ENSEBUG00000010786	0	0	0
ENSMUSG00000000740	ENSDNOG00000034247	ENSMODG00000003663	ENSGALG00000006179	ENSXETG00000019835	ENSDARG00000099380	ENSORLG00000007654	0	ENSEBUG00000000730	ENSCING00000002582	FBgn0011272	WBGene00004425
ENSMUSG00000000743	ENSDNOG00000046686	ENSMODG00000003517	ENSGALG00000006161	ENSXETG00000019844	ENSDARG00000102643	ENSORLG00000015261	0	ENSEBUG00000007900	ENSCING00000020159	0	0
ENSMUSG00000000751	ENSDNOG00000017218	ENSMODG00000010549	ENSGALG00000003072	ENSXETG00000013538	ENSDARG00000003938	0	0	0	ENSCING00000023482	FBgn0010173	0
ENSMUSG00000000753	ENSDNOG00000007000	ENSMODG00000010515	ENSGALG00000003015	ENSXETG00000027686	ENSDARG00000069048	ENSORLG00000013447	ENSPMAG00000002992	0	0	0	0
ENSMUSG00000000759	ENSDNOG00000033260	ENSMODG00000004240	ENSGALG00000016836	ENSXETG00000001903	ENSDARG00000029133	ENSORLG00000005732	0	ENSEBUG00000016869	ENSCING00000007636	FBgn0001612	0
ENSMUSG00000000766	ENSDNOG00000000202	ENSMODG00000008382	ENSGALG00000013616	ENSXETG00000008401	ENSDARG00000039434	ENSORLG00000004921	ENSPMAG00000001376	ENSEBUG00000011757	0	0	0
ENSMUSG00000000776	ENSDNOG00000013488	ENSMODG00000009491	ENSGALG00000032501	ENSXETG00000010534	ENSDARG00000104516	ENSORLG00000011583	ENSPMAG00000001455	ENSEBUG00000014414	ENSCING00000008141	FBgn0036775	0
ENSMUSG00000000782	ENSDNOG00000012979	ENSMODG00000014163	ENSGALG00000006480	ENSXETG00000016100	ENSDARG00000038672	ENSORLG00000000976	0	0	0	0	0
ENSMUSG00000000787	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000791	ENSDNOG00000040721	ENSMODG00000003116	ENSGALG00000035825	0	0	0	0	0	0	0	0
ENSMUSG00000000792	ENSDNOG00000034667	ENSMODG00000029513	ENSGALG00000041932	ENSXETG00000013546	ENSDARG00000005392	ENSORLG00000006631	ENSPMAG00000009281	ENSEBUG00000016716	0	0	0
ENSMUSG00000000794	ENSDNOG00000002724	ENSMODG00000017155	ENSGALG00000030554	0	0	0	0	0	0	0	0
ENSMUSG00000000804	ENSDNOG00000016437	ENSMODG00000014128	ENSGALG00000005350	ENSXETG00000013503	ENSDARG00000061895	ENSORLG00000014900	0	ENSEBUG00000016737	0	0	0
ENSMUSG00000000805	ENSDNOG00000042697	0	ENSGALG00000005360	ENSXETG00000013489	0	0	ENSPMAG00000005348	0	0	0	0
ENSMUSG00000000811	ENSDNOG00000044007	ENSMODG00000007668	ENSGALG00000039363	ENSXETG00000004794	ENSDARG00000100374	ENSORLG00000011831	ENSPMAG00000005138	ENSEBUG00000005809	0	0	0
ENSMUSG00000000817	ENSDNOG00000035125	0	ENSGALG00000003076	ENSXETG00000000529	ENSDARG00000098913	ENSORLG00000024837	0	0	0	0	0
ENSMUSG00000000823	ENSDNOG00000043512	ENSMODG00000017043	ENSGALG00000006013	ENSXETG00000031346	ENSDARG00000071055	ENSORLG00000009630	0	0	0	0	0
ENSMUSG00000000826	ENSDNOG00000032589	ENSMODG00000017028	ENSGALG00000035378	0	0	0	ENSPMAG00000006691	ENSEBUG00000001085	0	0	0
ENSMUSG00000000827	0	ENSMODG00000017025	ENSGALG00000004683	0	0	0	0	0	0	0	0
ENSMUSG00000000838	ENSDNOG00000019486	ENSMODG00000005550	ENSGALG00000009177	ENSXETG00000019647	ENSDARG00000037433	ENSORLG00000009094	0	ENSEBUG00000008785	0	0	0
ENSMUSG00000000861	ENSDNOG00000019842	ENSMODG00000002114	ENSGALG00000034048	ENSXETG00000002206	ENSDARG00000061352	ENSORLG00000001704	0	ENSEBUG00000009709	0	0	0
ENSMUSG00000000869	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000876	ENSDNOG00000007975	ENSMODG00000002864	ENSGALG00000003042	ENSXETG00000021427	ENSDARG00000114885	ENSORLG00000027794	ENSPMAG00000005904	ENSEBUG00000009590	ENSCING00000016200	0	WBGene00017574
ENSMUSG00000000881	ENSDNOG00000038503	ENSMODG00000004962	ENSGALG00000041900	ENSXETG00000033070	ENSDARG00000076796	ENSORLG00000001913	0	0	0	0	0
ENSMUSG00000000884	ENSDNOG00000024523	ENSMODG00000021175	ENSGALG00000001925	ENSXETG00000006305	ENSDARG00000036293	ENSORLG00000015242	0	ENSEBUG00000013454	0	0	0
ENSMUSG00000000889	ENSDNOG00000035869	ENSMODG00000013013	ENSGALG00000040045	ENSXETG00000023110	ENSDARG00000069446	ENSORLG00000010252	0	ENSEBUG00000015616	ENSCING00000000574	FBgn0010329	WBGene00006541
ENSMUSG00000000901	ENSDNOG00000030720	ENSMODG00000019843	ENSGALG00000005968	ENSXETG00000022372	0	0	0	0	0	0	0
ENSMUSG00000000902	ENSDNOG00000011019	ENSMODG00000019844	ENSGALG00000005983	ENSXETG00000022368	0	0	ENSPMAG00000005635	ENSEBUG00000011957	ENSCING00000009008	FBgn0011715	WBGene00011111
ENSMUSG00000000903	ENSDNOG00000049092	0	ENSGALG00000021136	0	0	0	0	0	0	0	0
ENSMUSG00000000915	ENSDNOG00000016373	ENSMODG00000012341	ENSGALG00000031511	ENSXETG00000005793	0	0	0	0	0	0	0
ENSMUSG00000000916	ENSDNOG00000000305	ENSMODG00000013753	ENSGALG00000000891	ENSXETG00000010332	ENSDARG00000043209	ENSORLG00000003480	0	ENSEBUG00000006181	ENSCING00000023888	FBgn0259704	WBGene00013151
ENSMUSG00000000934	0	0	ENSGALG00000029572	ENSXETG00000019415	0	0	0	0	0	0	0
ENSMUSG00000000938	0	ENSMODG00000000463	ENSGALG00000026631	0	0	0	0	0	0	0	0
ENSMUSG00000000942	0	ENSMODG00000000491	ENSGALG00000022622	ENSXETG00000027534	0	ENSORLG00000005025	0	ENSEBUG00000012642	ENSCING00000006962	0	0
ENSMUSG00000000948	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000957	ENSDNOG00000008414	ENSMODG00000005279	0	ENSXETG00000022669	0	0	0	ENSEBUG00000009721	ENSCING00000005286	0	0
ENSMUSG00000000958	ENSDNOG00000001129	ENSMODG00000005329	0	ENSXETG00000022128	ENSDARG00000055226	ENSORLG00000007249	0	ENSEBUG00000010558	0	0	0
ENSMUSG00000000959	ENSDNOG00000001130	ENSMODG00000005347	0	ENSXETG00000022127	ENSDARG00000069313	ENSORLG00000007262	0	ENSEBUG00000016461	0	FBgn0027615	WBGene00007215
ENSMUSG00000000976	ENSDNOG00000010841	ENSMODG00000019111	ENSGALG00000005516	ENSXETG00000007964	ENSDARG00000073686	ENSORLG00000030388	ENSPMAG00000000156	ENSEBUG00000014483	ENSCING00000006905	FBgn0025621	0
ENSMUSG00000000982	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000983	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014	ENSDNOG00000038213	0	0	0	0	0	0	0	0	0	0
